code,product
L42,聯博印度成長基金A股
698,(百元基金)施羅德歐洲小型公司A1累積(美元)
A39,安本標準新興市場小型公司基金 A 累積 美元
591,聯博印度成長基金BX股
57R,(百元基金)施羅德環球氣候變化策略A1累積(美元)
M23,景順開發中市場基金A(年配)(美元)
59J,聯博印度成長基金B股
613,新加坡大華全球科技基金(美元)
J0M,(百元基金)摩根歐洲小型企業基金-JPM-A股累計(美元)
62I,匯豐環球投資基金-亞洲股票(日本除外)
C07,霸菱亞洲增長基金(美元)
74P,貝萊德世界礦業基金HEDGED A2(澳幣)
Y53,(百元基金)富蘭克林坦伯頓全球天然資源基金A股(美元)
Y79,(百元基金)富蘭克林坦伯頓全球亞洲小型企業基金-累積型(美元)
844,富達太平洋基金-配權帳戶-美元
F25,富達太平洋基金(配息帳戶)(美元)
O02,利安資金印度基金(美元)
S32,施羅德美國小型公司基金-環球系列
E63,法盛漢瑞斯全球股票基金(配息)(美元)
E62,法盛漢瑞斯全球股票基金(美元)
M06,景順全歐洲企業基金A(歐元)
O07,利安資金韓國基金(新加坡幣)
S48,施羅德美國小型公司A1累積(美元)
84F,富蘭克林坦伯頓全球天然資源基金F股(累積)(美元)
84D,富蘭克林坦伯頓全球亞洲小型企業基金F股(累積)(美元)
E66,法盛漢瑞斯美國股票基金(配息)(美元)
E65,法盛漢瑞斯美國股票基金(美元)
69A,富蘭克林坦伯頓全球亞洲小型企業基金B股(美元)
Y02,(百元基金)富蘭克林坦伯頓全球中小型企業基金(年配權)(美元)
Y0G,富蘭克林坦伯頓全球投資系列-中小型企業基金美元A (acc)股
J13,摩根亞洲小型企業基金
V70,瑞銀(盧森堡)亞洲小型公司基金(美元)
66J,富蘭克林坦伯頓全球天然資源基金B股
J18,摩根澳洲基金
D10,安聯全球資源基金
D08,安聯全球高科技基金
X17,(百元基金)富蘭克林坦伯頓中小型公司成長基金(配權)(本基金之配息來源可能為本金)
C08,霸菱大東協基金(美元)
V82,瑞銀(盧森堡)全球影響力基金(美元)(未核備)
65I,富達新興歐非中東基金-配權帳戶-美元
F89,富達新興歐非中東基金-配息帳戶-美元
65K,富達新興歐非中東基金(累積)-配權帳戶-美元
F91,富達新興歐非中東基金(累積)-配息帳戶-美元
T22,安聯全球高成長科技基金(本基金之配息來源可能為本金)
T02,德盛東方入息基金-P配息類股
M68,景順亞洲動力基金C(年配)(美元)
MZ6,(百元基金)貝萊德智慧數據環球小型企業基金(美元)
64X,施羅德亞洲小型公司A1累積(美元)
V67,瑞士銀行生態表現基金(美元)
J1S,摩根歐洲動力科技基金-JPM-A股分派(歐元)
79S,富達全球科技基金(累積)-配權帳戶-美元避險
F1M,富達全球科技基金(累積)-配息帳戶-美元避險
50N,富蘭克林坦伯頓全球中小型企業基金B股
T27,安聯東方入息基金-A(配息類股)(美元)(本基金之配息來源可能為本金)
V08,瑞銀(盧森堡)歐洲中型股票基金(歐元)
Y90,(百元基金)富蘭克林坦伯頓新興國家小型企業基金(累積)A股(美元)
V80,瑞銀(盧森堡)亞洲精選股票基金(累積)(美元)
T33,安聯亞洲總回報股票基金-A(配息類股)(美元)(本基金之配息來源可能為本金)
Y37,(百元基金)富蘭克林坦伯頓全球科技基金
769,(百元基金)施羅德環球小型公司A1累積(美元)
JA1,駿利亨德森策略Alpha基金A2美元
RU6,(百元基金)羅素全球股票基金
V81,瑞銀(盧森堡)全球影響力基金(美元)(歐元避險)(未核備)
V53,瑞銀(盧森堡)俄羅斯股票基金(美元)
89D,法巴消費創新股票基金C(美元)
RU5,(百元基金)羅素新興市場股票基金
M49,景順能源基金A(美元)
HS2,匯豐環球投資基金-經濟規模指數美國股票
79Q,富達北歐基金(累積)-配權帳戶-美元避險
F1K,富達北歐基金(累積)-配息帳戶-美元避險
T11,安聯印尼股票基金-A(配息類股)(美元)(本基金之配息來源可能為本金)
O26,利安資金越南基金(新加坡幣)
74J,貝萊德智慧數據環球小型企業基金HEDGED A2(澳幣)
88U,富蘭克林坦伯頓全球科技基金F股(累積)(美元)
JA5,駿利亨德森美國創業基金A2美元
AF5,柏瑞亞洲(日本除外)股票基金
51Q,M＆G日本小型股基金A(歐元)
57H,(百元基金)瀚亞印尼股票基金A
J1L,(百元基金)摩根美國小型企業基金-JPM-A股分派(美元)(本基金之配息來源可能為本金)
50D,富蘭克林坦伯頓全球科技基金B股(美元)
JD1,駿利亨德森策略Alpha基金 B2 美元
T07,安聯新興亞洲股票基金-A(配息類股)(美元)(本基金之配息來源可能為本金)
768,(百元基金)施羅德美國中小型股票A1累積(美元)
V45,瑞銀(盧森堡)美國增長股票基金(美元)
MS4,(百元基金)貝萊德美國特別時機基金(美元)
N17,路博邁投資基金-NB美國小型企業基金T累積類股(南非幣)
62L,匯豐環球投資基金-全球股票氣候變化概念
RU4,(百元基金)羅素亞太(日本除外)基金
JA2,駿利亨德森策略Alpha基金A2歐元避險
865,富達印度聚焦基金-配權帳戶-美元
F70,富達印度聚焦基金-配息帳戶-美元
JD5,駿利亨德森美國創業基金 B2 美元
T03,安聯亞洲創新基金-A(配息類股)(美元)(本基金之配息來源可能為本金)
M64,景順印度股票基金A(年配)(美元)
831,富達北歐基金-配權帳戶-瑞典克朗
F03,富達北歐基金-配息帳戶-瑞典克朗
65S,鋒裕匯理基金歐洲小型股票 A 美元
79N,(百元基金)施羅德歐洲小型公司基金A累積(美元對沖)
Y36,(百元基金)富蘭克林坦伯頓全球印度基金(美元)
A44,安本標準世界資源股票基金 A 累積 美元
58W,新加坡大華全球資源基金(美元)
MX6,貝萊德世界科技基金(歐元)
JA6,駿利亨德森美國創業基金A2歐元避險
79R,富達太平洋基金-配權帳戶-美元避險
F1L,富達太平洋基金-配息帳戶-美元避險
IR7,晉達環球天然資源基金C收益股份(年配息)
IR8,晉達環球天然資源基金C收益股份(年配權)
N59,路博邁投資基金 - NB美國小型企業基金E累積類股(南非幣)
M71,景順能源基金A(歐元對沖)(歐元)
MU8,貝萊德世界礦業基金(歐元)
81O,鋒裕匯理基金歐洲小型股票 T 美元
00D,鋒裕匯理基金歐洲小型股票 U 美元
65Y,鋒裕匯理基金歐洲小型股票 B 美元
MZ9,貝萊德永續能源基金(歐元)
847,富達歐洲小型企業基金-配權帳戶-歐元
F37,富達歐洲小型企業基金(配息帳戶)(歐元)
MB3,貝萊德世界金融基金(歐元)
V83,瑞銀(盧森堡)全球新興市場精選股票基金(美元)
622,新加坡大華全球科技基金(星幣)
554,首域盈信印度次大陸基金
AF3,柏瑞環球新興市場精選股票基金
50C,富蘭克林坦伯頓全球印度基金B股
S36,施羅德歐洲小型公司A累積(歐元)
V71,瑞銀(盧森堡)美國總收益股票基金(累積)(美元)
74M,貝萊德美國特別時機基金HEDGED A2(澳幣)
N09,路博邁投資基金-NB美國小型企業基金T累積類股(美元)
837,富達法國基金-配權帳戶-歐元
F10,富達法國基金(配息帳戶)(歐元)
S52,施羅德歐洲小型公司A1累積(歐元)
V72,瑞銀(盧森堡)美國總收益股票基金(月配息)(美元)(本基金之配息來源可能為本金)
O01,利安資金印度基金(新加坡幣)
J60,(百元基金)摩根美國企業成長基金-JPM-A股分派(美元)(本基金之配息來源可能為本金)
776,(百元基金)貝萊德印度基金(美元)
Y80,富蘭克林坦伯頓全球亞洲小型企業基金A股(累積型)(歐元)
AD4,柏瑞歐洲小型公司股票基金 (美元)
Y54,富蘭克林坦伯頓全球天然資源基金A股(歐元)
C18,霸菱全球資源基金(美元)
846,富達印尼基金-配權帳戶-美元
F35,富達印尼基金(配息帳戶)(美元)
N25,路博邁投資基金-NB美國小型企業基金B累積類股(美元)
AE7,柏瑞印度股票基金A(美元)
X07,(百元基金)富蘭克林潛力組合基金(年配權)(美元)(本基金之配息來源可能為本金)
N57,路博邁投資基金 - NB美國小型企業基金E累積類股(美元)
N35,路博邁投資基金-NB美國小型企業基金C2累積類股(美元)
J80,(百元基金)摩根中國基金-JPM-A股分派(美元)(本基金之配息來源可能為本金)
87T,摩根中國基金-JPM-A股累計(美元)
68W,法巴全球環境基金 C (美元)
X05,(百元基金)富蘭克林高科技基金(美元)(本基金之配息來源可能為本金)
A32,安本標準環球創新股票基金 A 累積 美元
X06,富蘭克林可轉換證券基金(季配權)(美元)
X20,富蘭克林可轉換證券基金(季配息)(美元)
J1Q,摩根歐洲小型企業基金-JPM-A股分派(歐元)(本基金之配息來源可能為本金)
S78,施羅德新興亞洲A累積(美元)基金
51C,(百元基金)瀚亞全球科技股票基金A
C26,霸菱亞洲增長基金(歐元)
51V,M＆G北美股息基金A(美元)
63C,(百元基金)NN(L)氣候與環境永續基金X股(美元)
77E,先機全球新興市場基金L類累積股(美元)(本基金之配息來源可能為本金)
84X,瀚亞全球價值股票基金Az(南非幣避險)
J81,(百元基金)摩根大中華基金-JPM-A股分派(美元)(本基金之配息來源可能為本金)
73Q,瀚亞全球價值股票基金AZDMC1穩定月配(南非幣避險)(本基金配息來源可能為本金)
S80,(百元基金)施羅德新興亞洲A1累積(美元)
73C,富達歐洲小型企業基金(累積)-配權帳戶-美元避險
F0X,富達歐洲小型企業基金(累積)-配息帳戶-美元避險
L1J,聯博永續主題基金AX股(美元)
SC0,先機亞太股票基金L類累積股(美元)
L57,聯博永續主題基金A股(美元)
RU3,(百元基金)羅素多元資產90基金B類股
AE2,柏瑞環球重點股票基金(美元)
55R,富達新興市場基金-配權帳戶-美元
F24,富達新興市場基金-配息帳戶-美元
86Z,摩根中國基金-JPM-F股累計(美元)
C02,霸菱香港中國基金(美元)
F39,富達全球台商企業基金(配息帳戶)(美元)
C01,霸菱澳洲基金(美元)
J0S,(百元基金)摩根亞太股票基金-JPM-A股累計(美元)
67R,瑞萬通博基金-新興市場股票基金C(美元)
N16,路博邁投資基金-NB美國小型企業基金T累積類股(澳幣)
855,富達全球科技基金-配權帳戶-歐元
F52,富達全球科技基金-配息帳戶-歐元
63L,(百元基金)瀚亞中印股票基金A
51W,M＆G全球未來趨勢基金A(美元)
ML2,(百元基金)貝萊德歐洲基金(美元)
E64,法盛漢瑞斯全球股票基金
67Z,NN(L)氣候與環境永續基金Y股(美元)
D01,安聯歐洲基金
SE8,先機全球新興市場基金B類累積股(美元)
65J,富達新興歐非中東基金-配權帳戶-歐元
F90,富達新興歐非中東基金-配息帳戶-歐元
65L,富達新興歐非中東基金(累積)-配權帳戶-歐元
F92,富達新興歐非中東基金(累積)-配息帳戶-歐元
O30,利安資金亞太基金(美元)
81I,聯博永續主題基金BX股(美元)
A28,安本標準新興市場股票基金 A 累積 美元
SE1,先機亞太股票基金B類累積股(美元)
87I,鋒裕匯理基金亞洲聚焦股票 A 美元(未申報生效)
63J,聯博永續主題基金B股(美元)
E67,法盛漢瑞斯美國股票基金
794,比利時聯合資產管理公司-美國庫藏股基金
J22,摩根歐元區股票基金-JPM-A股分派(美元)
J75,摩根環球可換股證券基金-JPM-A股分派(美元)(本基金有相當比重投資於非投資等級之高風險債券)
V32,瑞銀(盧森堡)策略基金-股票型(美元)
N58,路博邁投資基金 - NB美國小型企業基金E累積類股(澳幣)
63Z,(百元基金)貝萊德中國基金A2(美元)
J91,(百元基金)摩根新興市場小型企業基金-JPM-A股PERF累計(美元)
53F,施羅德環球進取股票基金-環球系列
SI2,先機亞太股票基金C類累積股(美元)
C27,霸菱大東協基金(歐元)
SJ1,先機全球新興市場基金C類累積股(美元)
J87,(百元基金)摩根環球天然資源基金-JPM-A股累計(美元)
J1G,(百元基金)摩根歐洲小型企業基金-JPM-A股累計(美元對沖)
51D,(百元基金)瀚亞全球價值股票基金A
73O,瀚亞全球價值股票基金ADMC1穩定月配(美元)(本基金配息來源可能為本金)
67M,首域盈信中國核心基金-第四類股
52Z,(百元基金)貝萊德環球動力股票基金(美元)
J82,(百元基金)摩根亞洲增長基金
IN4,晉達環球策略股票基金C收益股份(配息)
IQ1,晉達環球策略股票基金C收益股份(配權)
L04,聯博新興市場成長基金(美元)
JC7,駿利亨德森環球科技創新基金A2美元
L69,聯博永續主題基金A股澳幣避險
70S,法巴科技創新股票基金 C (美元)
MZ7,貝萊德智慧數據環球小型企業基金(歐元)
Y91,富蘭克林坦伯頓新興國家小型企業基金(累積)A股(歐元)
53C,(百元基金)施羅德印度股票A1累積(美元)
792,比利時聯合資產管理公司-歐洲電訊及科技基金
783,駿利亨德森遠見全球科技領先基金
J1H,(百元基金)摩根美國基金-JPM-A股分派(美元)(本基金之配息來源可能為本金)
SB2,先機北美股票基金L類累積股(美元)
510,景順太平洋基金A(年配)(美元)
610,新加坡大華亞太增長基金(美元)
871,富蘭克林坦伯頓全球全球氣候變遷基金B股(美元)
AD3,柏瑞日本小型公司股票基金
74I,貝萊德中國基金HEDGED A2(澳幣)
HS0,匯豐環球投資基金-泰國股票
J0J,(百元基金)摩根歐洲動力基金-JPM-A股累計(美元)
S39,施羅德亞洲優勢 A (累積)(美元)(本基金之配息來源可能為本金)
67N,首域盈信亞洲增長基金-第四類股
87Q,鋒裕匯理基金亞洲聚焦股票 T 美元(未申報生效)
S1L,施羅德亞洲收益股票U月配固定(C)(南非幣避險)(基金之配息來源可能為本金)
SA7,先機環球股票基金L類累積股(美元)
87A,摩根環球天然資源基金-JPM-F股累計(美元)
64A,貝萊德中國基金HEDGED A2(歐元)
MB6,(百元基金)貝萊德美國靈活股票基金(美元)
IO7,晉達環球動力基金C收益股份(配息)
IQ8,晉達環球動力基金C收益股份(配權)
L1P,聯博新興市場成長基金ED月配級別美元(本基金之配息來源可能為本金)
S55,施羅德亞洲優勢 A1(累積)(美元)(本基金之配息來源可能為本金)
JK9,駿利亨德森環球科技創新基金B2美元
67L,首域盈信大中華增長基金-第四類股
57T,(百元基金)施羅德新興市場股債優勢A1累積(美元)
MS6,(百元基金)貝萊德新興市場基金
S31,施羅德美國大型股基金A累積(美元)
N11,路博邁投資基金-NB美國多元企業機會基金T累積類股(南非幣)
T04,安聯小龍基金
73R,瀚亞全球價值股票基金ANDMC1穩定月配(紐幣避險)(本基金配息來源可能為本金)
67S,瑞萬通博基金－亞太股票基金C(美元)
SD8,先機北美股票基金B類累積股(美元)
JC8,駿利亨德森環球科技創新基金A2歐元避險
61L,(百元基金)施羅德大中華A1累積(美元)
L37,聯博全球複合型股票基金(美元)
A40,安本標準印度股票基金 A 累積 美元
SB1,先機美國入息基金L類累積股(美元)(本基金之配息來源可能為本金)
67V,瑞萬通博基金-美國價值股票基金C(美元)
73P,瀚亞全球價值股票基金AADMC1穩定月配(澳幣避險)(本基金配息來源可能為本金)
SH8,先機北美股票基金C類累積股(美元)
SD4,先機環球股票基金B類累積股(美元)
87K,鋒裕匯理基金新興世界股票 A 美元(未申報生效)
S47,(百元基金)施羅德美國大型股A1累積(美元)
J21,(百元基金)摩根印度基金
521,天利(盧森堡)北美基金(美元)(本基金未經本國主管機關核准)
J0R,摩根美國基金-JPM-A股累計(澳幣對沖)
MX7,貝萊德世界科技基金(英鎊)
89E,法巴消費創新股票基金/年配 (歐元)
58V,新加坡大華全球資源基金(星幣)
J79,(百元基金)摩根全方位新興市場基金-JPM-A股分派(美元)(本基金之配息來源可能為本金)
63P,(百元基金)瀚亞亞洲股票基金A
L65,聯博新興市場成長基金A股(澳幣避險)
X16,富蘭克林坦伯頓開發中國家基金(配權)
Y66,富蘭克林坦伯頓全球新興國家基金
Y03,(百元基金)富蘭克林坦伯頓全球新興國家基金(年配權)
N37,路博邁投資基金-NB美國多元企業機會基金C2累積類股(南非幣)
N62,路博邁投資基金 - NB美國多元企業機會基金E累積類股(南非幣)
N27,路博邁投資基金-NB美國多元企業機會基金B累積類股(南非幣)
SH4,先機環球股票基金C類累積股(美元)
623,紐約梅隆環球股票投資基金(美元)
J17,(百元基金)摩根太平洋證券基金
611,新加坡大華全球金融基金(美元)
51B,(百元基金)瀚亞泛歐股票基金A
57V,(百元基金)施羅德亞洲收益股票A1累積(美元)(本基金之配息來源可能為本金)
67F,(百元基金)瀚亞亞太股票基金A
X01,(百元基金)富蘭克林黃金基金(年配權)(本基金之配息來源可能為本金)
53Q,百達-數位科技基金-R 美元
L0I,聯博全球價值型基金AD股南非幣避險(本基金之配息來源可能為本金)
O10,利安資金馬來西亞基金(美元)
762,聯博全球複合型股票基金B股(美元)
IZ6,晉達環球策略股票基金C累積股份(配息帳戶)(美元避險)
IZ7,晉達環球策略股票基金C累積股份(配權帳戶)(美元避險)
57W,施羅德亞洲收益股票A1月配固定(美元)(本基金之配息來源可能為本金)
63F,(百元基金)NN(L)能源基金X股(美元)
MT5,貝萊德美國特別時機基金(歐元)
M37,景順新興市場精選股票基金A(年配)(美元)
59Y,富達永續發展亞洲股票基金-配權帳戶-美元
F04,富達永續發展亞洲股票基金基金(配息帳戶)(美元)
01V,鋒裕匯理基金新興世界股票 U 美元(未申報生效)
IN3,晉達環球能源基金C收益股份(配息)
IQ4,晉達環球能源基金C收益股份(配權)
87O,鋒裕匯理基金新興世界股票 B 美元(未申報生效)
81G,法巴美國增長股票基金 C (美元)
72T,鋒裕匯理基金環球生態ESG股票 A 美元
851,富達美國成長基金-配權帳戶-美元
F46,富達美國成長基金-配息帳戶-美元
832,富達東協基金-配權帳戶-美元
F05,富達東協基金(配息帳戶)(美元)
556,首域亞洲創新科技基金
J70,摩根環球發現基金-JPM-A股分派(歐元)
MW8,(百元基金)貝萊德美國價值型基金(美元)
MY9,貝萊德美國價值型基金(配息)
N10,路博邁投資基金-NB美國多元企業機會基金T累積類股(美元)
00I,鋒裕匯理基金環球生態ESG股票 U 美元
646,鋒裕匯理基金領先歐洲企業股票 A 美元
M85,景順日本小型企業基金A(年配)(美元)
SA6,先機歐洲股票基金L類累積股(美元)
S1I,施羅德亞洲收益股票U累積(美元)
81Y,鋒裕匯理基金中國股票 T2 美元
00N,鋒裕匯理基金中國股票 U2 美元
77L,鋒裕匯理基金中國股票 B 美元
SD7,先機美國入息基金B類累積股(美元)(本基金之配息來源可能為本金)
53E,(百元基金)施羅德環球進取股票A1累積(美元)
77H,貝萊德亞太股票收益基金A8穩定月配息股份(南非幣避險)(本基金配息可能涉及本金)
D58,PIMCO美國股票增益基金E級類別(累積股份)
71V,富達全球金融服務基金-配權帳戶-美元
F0T,富達全球金融服務基金-配息帳戶-美元
RU9,羅素泛歐股票基金
S1J,施羅德亞洲收益股票U月配固定(美元)(基金之配息來源可能為本金)
53R,(百元基金)百達-精選品牌-R 美元
SH7,先機美國入息基金C類累積股(美元)(本基金之配息來源可能為本金)
J1J,(百元基金)摩根環球靈活策略股票基金-JPM-A股分派(本基金之配息來源可能為本金)
53Z,鋒裕匯理基金領先歐洲企業股票 B 美元
00G,鋒裕匯理基金領先歐洲企業股票 U 美元
80Z,富達全球聚焦基金(累積)-配權帳戶-(美元)
F1Q,富達全球聚焦基金(累積)-配息帳戶-(美元)
MT8,(百元基金)貝萊德新興歐洲基金(美元)
868,富達全球聚焦基金-配權帳戶-美元
F73,富達全球聚焦基金-配息帳戶-美元
75G,瀚亞亞洲股票收益基金AZDMC1穩定月配(南非幣避險)(本基金配息來源可能為本金)
MX2,(百元基金)貝萊德歐洲價值型基金(美元)
S58,(百元基金)施羅德新興市場A1累積(美元)(本基金之配息來源可能為本金)
AD1,柏瑞日本小型公司股票基金(日圓)
547,天利(盧森堡)北美基金(歐元避險)(本基金未經本國主管機關核准)
Y46,(百元基金)富蘭克林坦伯頓全球美國機會基金
JA3,駿利亨德森美國40基金A2美元
76A,聯博全球價值型基金BD股南非幣避險(本基金之配息來源可能為本金)
63E,(百元基金)NN(L)新興市場增強股票基金X股(美元)
501,富蘭克林坦伯頓全球新興國家基金B股(美元)
Y71,富蘭克林坦伯頓全球亞洲成長基金
Y04,(百元基金)富蘭克林坦伯頓全球亞洲成長基金(年配權)
79W,瀚亞日本動力股票基金AZ(南非幣避險)
67W,NN(L)能源基金Y股(美元)
X03,(百元基金)富蘭克林成長基金(年配權)(美元)(本基金之配息來源可能為本金)
J1O,(百元基金)摩根美國價值基金-JPM-A股分派(美元)(本基金之配息來源可能為本金)
65T,鋒裕匯理基金歐洲小型股票 A 歐元
N26,路博邁投資基金-NB美國多元企業機會基金B累積類股(美元)
N60,路博邁投資基金 - NB美國多元企業機會基金E累積類股(美元)
S1T,施羅德環球收益股票U月配固定(C)(南非幣避險)(基金之配息來源可能為本金)
O14,利安資金泰國基金(美元)
N36,路博邁投資基金-NB美國多元企業機會基金C2累積類股(美元)
A02,安本標準亞太股票基金 A 累積 美元
O12,利安資金新加坡信託基金(美元)
MU2,(百元基金)貝萊德歐元市場基金(美元)
SD3,先機歐洲股票基金B股(美元)
643,鋒裕匯理基金歐陸股票 A 美元
MT7,(百元基金)貝萊德環球前瞻股票基金(美元)
V03,瑞銀(盧森堡)保健股票基金(美元)
V30,瑞銀(盧森堡)日本股票基金(日幣)
77I,鋒裕匯理基金中國股票 A 美元
654,鋒裕匯理基金美國鋒裕股票 A 美元
53T,鋒裕匯理基金歐陸股票 B 美元
59A,新加坡大華泛華基金(美元)
81N,鋒裕匯理基金歐洲小型股票 T 歐元
62U,(百元基金)NN(L)銀行及保險基金X股(美元)
JD3,駿利亨德森美國40基金 B2 美元
84C,富蘭克林坦伯頓全球美國機會基金F股(累積)(美元)
85A,法巴永續美國價值多元因子股票基金 C (美元)
78O,鋒裕匯理基金歐洲小型股票 B 歐元
00C,鋒裕匯理基金歐洲小型股票 U 歐元
647,鋒裕匯理基金美國研究股票 A 美元
O20,利安資金東南亞基金(美元)
67Y,NN(L)新興市場增強股票基金Y股(美元)
88V,富蘭克林坦伯頓全球亞洲成長基金F股(累積)(美元)
T50,安聯主題趨勢基金-AT累積類股(美元)
S1K,施羅德亞洲收益股票U月配固定(C)(澳幣避險)(基金之配息來源可能為本金)
55V,匯豐環球投資基金-亞太收益增長股票
SH3,先機歐洲股票基金C股(美元)
537,天利(盧森堡)泛歐洲股票基金(美元)(本基金未經本國主管機關核准)
57C,富蘭克林坦伯頓全球美國機會基金B股
O32,利安資金中國增長基金(美元)
M09,景順日本小型企業基金A(日圓)
57O,富蘭克林坦伯頓全球亞洲成長基金B股
N15,路博邁投資基金-NB美國多元企業機會基金T累積類股(澳幣)
JA4,駿利亨德森美國40基金A2歐元避險
523,天利(盧森堡)美國選擇基金(美元)(本基金未經本國主管機關核准)
64Y,天利(盧森堡)美國選擇基金(美元)(本基金未經本國主管機關核准)
V33,瑞銀(盧森堡)策略基金-股票型(歐元)
689,(百元基金)NN(L)全球機會股票基金X股(美元)
62J,匯豐環球投資基金-新興四國市場股票
78M,鋒裕匯理基金歐洲小型股票 A 美元對沖
767,(百元基金)施羅德環球計量精選價值A1(累積)(美元)(本基金之配息來源可能為本金)
A37,安本標準亞洲小型公司基金 A 累積 美元
JC9,駿利亨德森英達美國重點基金A2美元
52K,(百元基金)施羅德環球收益股票A1累積(美元)(本基金之配息來源可能為本金)
774,貝萊德歐洲靈活股票基金(歐元)
54J,鋒裕匯理基金美國鋒裕股票 B 美元
00L,鋒裕匯理基金美國鋒裕股票 U 美元
81V,鋒裕匯理基金美國鋒裕股票 T 美元
V13,瑞士銀行歐元國家機會基金(歐元)
65G,富達亞洲成長趨勢基金(累積)-配權帳戶-美元
F87,富達亞洲成長趨勢基金(累積)-配息帳戶-美元
64T,富達亞洲成長趨勢基金-配權帳戶-美元
F34,富達亞洲成長趨勢基金(配息帳戶)(美元)
86J,NN(L)新興高股息基金X股(月配)(美元)(本基金之配息來源可能為本金)
71A,法巴亞洲(日本除外)股票基金 C (美元)
E69,法盛漢瑞斯美國股票基金(配息)(英鎊)
E68,法盛漢瑞斯美國股票基金(英鎊)
Y32,(百元基金)富蘭克林坦伯頓全球互利美國價值基金-美元
697,(百元基金)施羅德新興歐洲A1累積(美元)
68U,NN (L) 新興高股息基金X股(美元)
66H,KBC未來趨勢基金
52L,施羅德環球收益股票 A1月配固定(美元)(本基金之配息來源可能為本金)
860,富達全球工業基金-配權帳戶-歐元
F59,富達全球工業基金(配息帳戶)(歐元)
S1Q,施羅德環球收益股票U累積(美元)
775,貝萊德印度基金(歐元)
63O,(百元基金)瀚亞亞太基礎建設股票基金A
75D,(百元基金)瀚亞亞洲股票收益基金A(美元)
75E,瀚亞亞洲股票收益基金ADMC1穩定月配(美元)(本基金配息來源可能為本金)
L0Z,聯博美國成長基金AD月配南非幣避險級別(本基金之配息來源可能為本金)
D02,安聯德國基金
L85,聯博精選美國股票基金A股美元
L39,聯博全球價值型基金(美元)
62M,匯豐環球投資基金-俄羅斯股票
J23,(百元基金)摩根歐洲基金-JPM-A股分派(美元)(本基金之配息來源可能為本金)
69B,富達亞太入息基金 (A股F1穩定月配)-配權帳戶-美元(本基金之配息來源可能為本金)
F0H,富達亞太入息基金 (A股F1穩定月配息)-配息帳戶-美元(本基金之配息來源可能為本金)
785,駿利亨德森遠見日本小型公司基金
Y0K,(百元基金)富蘭克林坦伯頓全球全球氣候變遷基金A股(累積)-H1(美元避險)
L0G,聯博全球價值型基金AD股美元(本基金之配息來源可能為本金)
S1R,施羅德環球收益股票U月配固定(美元)(基金之配息來源可能為本金)
73H,貝萊德亞太股票收益基金A6(穩定配息)(美元)(本基金配息可能涉及本金)
E70,法盛亞太股票基金R/A(美元)
73G,(百元基金)貝萊德亞太股票收益基金 A2(美元)(本基金配息可能涉及本金)
00E,鋒裕匯理基金歐洲小型股票 U 美元對沖
85Q,摩根環球股息基金-JPM-A股累計(美元)
59Q,富達亞太入息基金(半年配)-配權帳戶-美元
C34,霸菱全球資源基金(歐元)
D13,安聯歐洲成長基金
81P,鋒裕匯理基金歐洲小型股票 T 美元對沖
N61,路博邁投資基金 - NB美國多元企業機會基金E累積類股(澳幣)
L58,聯博永續主題基金A股(歐元)
79T,(百元基金)瀚亞日本動力股票基金A(美元避險)
AD2,柏瑞歐洲小型公司股票基金(歐元)
